address,pagerank,in_volume,out_volume,in_pr_and_vol
0x28c6c06298d514db089934071355e5743bf21d60,0.07000141511954609,8109236679957.347,8443686739696.239,True
0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,0.025226297905553256,3699169864309.92,3742103572848.39,True
0xa43fe16908251ee70ef74718545e4fe6c5ccec9f,0.022334941271977365,1404310027181.948,1466707669931.6785,True
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0.0170398761702621,2310740818267.25,2277339859934.19,True
0xf977814e90da44bfa03b6295a0616a897441acec,0.016929261042790127,2395656830614.269,0.0,True
0x700e0841ce0892969d2f9cf523c6298b3ef056a6,0.015219689768585485,980853706492.6061,1136478486263.98,True
0x51c72848c68a965f66fa7a88855f9f7784502a7f,0.013675556888058153,1241690362542.7678,1258995140236.4744,True
0x21a31ee1afc51d94c2efccaa2092ad1028285549,0.012983251444674462,1758280315698.1501,1697699178891.55,True
0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,0.011043591495375286,931596554136.5457,902486080069.6991,True
0x91d40e4818f4d4c57b4578d9eca6afc92ac8debe,0.010689694553649173,1380789639233.767,1917604937835.1067,True
0xefef30bd1cca520619306c95091ab18473febc5c,0.010686898241395803,777232397649.4537,769254002243.7372,True
0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,0.010478550218456228,909851319320.4331,903158333529.5588,True
0x5a1b2acd0c9992e14f2b6d8a326023e35a097a3a,0.010148035304684796,268423258859.1218,268423258859.1218,False
0x4a4aaa0155237881fbd5c34bfae16e985a7b068d,0.009588012198867988,1736829149746.996,1666798644917.3884,True
0xf8191d98ae98d2f7abdfb63a9b0b812b93c873aa,0.009125895718738711,2121076499605.45,2204430461359.19,True
0x1f2f10d1c40777ae1da742455c65828ff36df387,0.008466114520011258,62571233529.85677,62571219555.5837,False
0x06fd4ba7973a0d39a91734bbc35bc2bcaa99e3b0,0.007564096350175212,663247303717.5925,663247303717.5925,False
0x990636ecb3ff04d33d92e970d3d588bf5cd8d086,0.00692609065183619,163460792211.4108,163460792211.4108,False
0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,0.00645077188824801,541825086942.55475,497527558177.7158,False
0xbee3211ab312a8d065c4fef0247448e17a8da000,0.006201999242221312,243612800704.63824,242702872951.24554,False
