address,pagerank,in_volume,out_volume,in_pr_and_vol
0xa43fe16908251ee70ef74718545e4fe6c5ccec9f,0.042811678252065846,556079905017.753,442847370002.5811,True
0x28c6c06298d514db089934071355e5743bf21d60,0.04131684410757052,1459580092418.1882,2750484744560.26,True
0x51c72848c68a965f66fa7a88855f9f7784502a7f,0.02811899123028105,496097107105.86273,479285970446.66504,True
0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,0.01720133977439745,287695418374.991,271149101579.0636,False
0x700e0841ce0892969d2f9cf523c6298b3ef056a6,0.015746461431175467,528551603532.36304,472825785987.56,True
0x9b0c45d46d386cedd98873168c36efd0dcba8d46,0.01522637711087924,697847577213.46,413532911205.0,True
0xf48a3f7c0575c85cf4529aa220caf3c055773f1c,0.013481753947874603,94022545552.81184,94022545552.81184,False
0x21a31ee1afc51d94c2efccaa2092ad1028285549,0.01258403394240179,979794515728.8799,815496482540.9,True
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0.011953318716264257,930402078162.1101,751754335759.9,True
0x841ed663f2636863d40be4ee76243377dff13a34,0.01167177644285637,1002599492449.3973,104836032619.0,True
0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,0.01120472395777738,608279756173.8119,578432297086.2205,True
0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,0.011161494585169247,357499983049.0,357499983043.0,True
0x990636ecb3ff04d33d92e970d3d588bf5cd8d086,0.01068167139961795,85138093702.09352,85138093702.09354,False
0xf8191d98ae98d2f7abdfb63a9b0b812b93c873aa,0.010549671778327437,585926542239.3573,580791026094.85,True
0x74de5d4fcbf63e00296fd95d33236b9794016631,0.00833462481414917,41449420764.221634,41449420764.221634,False
0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,0.007808182041656783,436770748749.39685,371850237143.5704,True
0xefef30bd1cca520619306c95091ab18473febc5c,0.006545131753885486,160814659683.71832,549514987094.7353,True
0x225a38bc71102999dd13478bfabd7c4d53f2dc17,0.005923820706521649,137167940590.3365,137167940590.3365,False
0x66e092fd00c4e4eb5bd20f5392c1902d738ae7bc,0.005393464832917684,452394464760.5139,474047657820.3681,True
0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,0.005217780196798493,160719746099.02,160719746099.02,False
