address,pagerank,in_volume,out_volume,in_pr_and_vol
0x28c6c06298d514db089934071355e5743bf21d60,0.07107505009315461,8360920936424.28,7223285056699.111,True
0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,0.02592574592937173,3538826702191.7563,3538826702191.7563,True
0xa43fe16908251ee70ef74718545e4fe6c5ccec9f,0.020396413307095063,2071498821866.34,2625622069114.8413,True
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0.01766338174010199,1985044602925.46,2184558553624.08,True
0x700e0841ce0892969d2f9cf523c6298b3ef056a6,0.01661958639411321,864362839631.5524,1333390603515.61,True
0xf977814e90da44bfa03b6295a0616a897441acec,0.016574849362736007,1968656949117.732,0.0,True
0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,0.016245383157795397,632363735724.1294,687378271930.0637,True
0xf8191d98ae98d2f7abdfb63a9b0b812b93c873aa,0.014428270862504937,2040023414055.36,1393887951462.54,True
0x21a31ee1afc51d94c2efccaa2092ad1028285549,0.014007993980941694,1604504269556.73,1628147442442.1199,True
0xefef30bd1cca520619306c95091ab18473febc5c,0.011421924344997454,599894019561.0992,800285159628.279,True
0x91d40e4818f4d4c57b4578d9eca6afc92ac8debe,0.011393139047610938,1064617228054.7627,1249576808303.7212,True
0x51c72848c68a965f66fa7a88855f9f7784502a7f,0.009087184029866196,1703901707825.1333,1700180936828.9575,True
0x2ac51184e197248553827704f162234808664759,0.008609999688556169,574023174390.2452,583657297755.5878,False
0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,0.008261785778709806,1016248427685.4537,1003846418706.1494,True
0x5a1b2acd0c9992e14f2b6d8a326023e35a097a3a,0.008168604496290132,218838332348.077,218838332348.077,False
0x3f9a8345729ea842708e080e238c92731e5699b8,0.007355943966565718,703731738066.8141,413000000000.0,False
0x4a4aaa0155237881fbd5c34bfae16e985a7b068d,0.0067444026571493905,1094276141889.8157,945489856070.5087,True
0x990636ecb3ff04d33d92e970d3d588bf5cd8d086,0.006312585921420909,183212298779.83453,183212298779.83453,False
0xd4bb423838a66347f5d6860437cef53e540b5f13,0.006124556211821672,303342159940.26184,0.0,False
0x7f07e5771e32f76b86e9b0ab42834f689ce4b045,0.0056188956102490905,845624308749.9042,845624308749.9042,True
