address,pagerank,in_volume,out_volume,in_pr_and_vol
0x28c6c06298d514db089934071355e5743bf21d60,0.07865677912083668,2477521990094.8486,2630600917933.7603,True
0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,0.03224620374946641,1201121308839.782,1147846761497.782,True
0x21a31ee1afc51d94c2efccaa2092ad1028285549,0.028233480477793324,1094009913647.8,814490750227.37,True
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0.02641800409435082,1021194691860.26,672271320152.35,True
0xa43fe16908251ee70ef74718545e4fe6c5ccec9f,0.024700856585215036,510502894388.4541,540086528755.9731,True
0xf8191d98ae98d2f7abdfb63a9b0b812b93c873aa,0.021708754144311157,719319505486.03,680889989781.0,True
0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,0.018099327804012584,352307543141.0916,483388878097.6074,True
0x51c72848c68a965f66fa7a88855f9f7784502a7f,0.01658839735700435,429472012079.9571,407176912825.1092,True
0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,0.014226571147514723,361262999663.5111,365178010915.48236,True
0x91d40e4818f4d4c57b4578d9eca6afc92ac8debe,0.012647793465459373,689324609310.8835,355374694735.04785,True
0xefef30bd1cca520619306c95091ab18473febc5c,0.012513049076375104,295668029382.3633,182769117207.21512,True
0x3358d042870c3d1b628ad778640136b8e569204f,0.008284257103698558,289180230773.0,289180230773.0,True
0x4a4aaa0155237881fbd5c34bfae16e985a7b068d,0.007916041268328882,722963429933.4,908963691075.038,True
0x9b96128a3f770faf7a882af4b0156e6976fed3d0,0.00717285352595899,4871198114.9674635,4901297571.758659,False
0x5a1b2acd0c9992e14f2b6d8a326023e35a097a3a,0.007068672500830415,48826299849.63584,48826299849.63584,False
0x2ac51184e197248553827704f162234808664759,0.006394242727580042,379588429310.50916,369624440672.23,True
0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,0.006363195607157652,66350045197.9742,221868069008.28516,False
0xd4d2960e1e58a597723ae021cc811193f79153b1,0.00618536070591721,57244315451.5153,46554190233.56894,False
0x06fd4ba7973a0d39a91734bbc35bc2bcaa99e3b0,0.005934525828451758,86847834320.00134,86847834320.00134,False
0xbc8a0f5e41857292d12ef620e2a5895ce65a5ce0,0.005754317826122179,200304287102.02,200304287102.02,True
