address,pagerank,in_volume,out_volume,in_pr_and_vol
0x28c6c06298d514db089934071355e5743bf21d60,0.0370970499278247,450217611964.6128,137294039958.79001,True
0xa43fe16908251ee70ef74718545e4fe6c5ccec9f,0.02341391045887392,161884031851.14093,125640513833.43416,True
0xf48a3f7c0575c85cf4529aa220caf3c055773f1c,0.013777239910048188,77955283015.12991,77955283015.1299,False
0x990636ecb3ff04d33d92e970d3d588bf5cd8d086,0.013674975409723483,52533705791.24551,52533705791.2455,False
0x700e0841ce0892969d2f9cf523c6298b3ef056a6,0.013533129113107974,164919714562.4159,154061838315.77,True
0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,0.011990010186874527,265764522408.74942,315694735191.2603,True
0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,0.01067170004585177,160302043399.53244,189121908717.9195,True
0x91d40e4818f4d4c57b4578d9eca6afc92ac8debe,0.010290259071305602,84119709649.38684,327660538619.7783,True
0x51c72848c68a965f66fa7a88855f9f7784502a7f,0.009195103418581357,73409678478.71231,75239829373.46385,False
0x111111125421ca6dc452d289314280a0f8842a65,0.008739093575655334,39269480681.46804,39269480681.46804,False
0xefef30bd1cca520619306c95091ab18473febc5c,0.008655837417591648,44029314016.73096,128352621214.54898,False
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0.008394305827256844,403306985615.02454,225350998122.65634,True
0x1f2f10d1c40777ae1da742455c65828ff36df387,0.007687249274287294,3149608740.6073728,3149608740.0118003,False
0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,0.007551223881298889,55977870710.89276,71655574156.55551,False
0x9b0c45d46d386cedd98873168c36efd0dcba8d46,0.007381552697091026,97677869683.98999,100322617507.0,True
0xf239009a101b6b930a527deaab6961b6e7dec8a6,0.0067923116658730135,3113528334.6622005,3086758670.00441,False
0x2f1a791bf65638dd81e64caef805db0f8e13da19,0.006698684393541038,201973421960.94266,0.0,True
0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,0.006514241684769226,100322617509.0,100322617507.0,True
0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,0.006430972403015361,120878557960.40215,57200683598.18095,False
0x06fd4ba7973a0d39a91734bbc35bc2bcaa99e3b0,0.0060080730089147084,125391747683.82,123567201909.21,True
