address,pagerank,in_volume,out_volume,in_pr_and_vol
0x28c6c06298d514db089934071355e5743bf21d60,0.040601278057063664,3552605527111.9263,3771473597597.41,True
0x51c72848c68a965f66fa7a88855f9f7784502a7f,0.01940237480343116,1185307157027.9182,1181918558471.3774,True
0x4a4aaa0155237881fbd5c34bfae16e985a7b068d,0.017148641812418167,2074403725194.4644,2041580065424.6602,True
0x91d40e4818f4d4c57b4578d9eca6afc92ac8debe,0.015687754973783385,1616176023381.8206,1628089771410.3938,True
0x841ed663f2636863d40be4ee76243377dff13a34,0.01565695692523726,1077444559120.8615,436753029595.2,True
0xa43fe16908251ee70ef74718545e4fe6c5ccec9f,0.015183525210566174,626512525736.5707,618980825044.5103,True
0xa69babef1ca67a37ffaf7a485dfff3382056e78c,0.013576207164372538,762440195339.9578,756453660831.0862,True
0x11950d141ecb863f01007add7d1a342041227b58,0.011932972602146217,376006448793.8159,383259977367.87714,False
0x21a31ee1afc51d94c2efccaa2092ad1028285549,0.01158346583169232,1259478404904.45,988866795563.61,True
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0.011550546278370601,1255892992670.96,1306389120475.05,True
0x207e1074858a7e78f17002075739ed2745dbaece,0.010987243874866,119765208448.27945,119765208448.27945,False
0x5f65f7b609678448494de4c87521cdf6cef1e932,0.010441099691936927,270378798394.43176,85215436670.53355,False
0xefef30bd1cca520619306c95091ab18473febc5c,0.008866344494577343,1091675897011.7311,731191729347.4478,True
0xf8191d98ae98d2f7abdfb63a9b0b812b93c873aa,0.008646113185901477,480440187641.5296,482571870569.95,False
0xa294cca691e4c83b1fc0c8d63d9a3eef0a196de1,0.008183645758170635,224451519164.55362,223795114917.0,False
0x18ec285a48499a67a35bf38ecfa17542e94c603a,0.007527602575205981,250809960059.37906,250809960059.0,False
0xad6eaa735d9df3d7696fd03984379dae02ed8862,0.007466444496686223,859332784376.4381,865777266349.6937,True
0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,0.007268619993551305,748961604217.8683,712074257916.9102,True
0x5141b82f5ffda4c6fe1e372978f1c5427640a190,0.007218512872299096,130591826751.71642,130591826751.71642,False
0x3cdf67e6910c7a06c850082ee7d0d7c4e8fb8836,0.0071728837379214415,21659337040.56846,30000051933.595024,False
