Janela,address,tipo
Maduro_2_Choque,0x010d838fe2f4b5a443e71047fd3815a04166d83f,auth
Maduro_2_Choque,0x010606767a13923bf328508f56650632c701e10d,auth
Maduro_2_Choque,0x00bb015e1666f28fcb75c8919dc5633d9b835ab4,auth
Maduro_2_Choque,0x0041c9dd32e8f2bdeb576ea34cff5662e214d0c5,auth
Maduro_2_Choque,0x000e3b5644f725a9abdef98fd7ee2dcf761ee0de,auth
Maduro_3_Depois,0xfd301d36a3a2d7697247d3cb1d6f15fabf2fe531,hub
Maduro_3_Depois,0x5bdffbae4058cb7415b7b421802b1501d260f7ef,hub
Maduro_3_Depois,0x21a3245360527e8cbd8e96c5f0c3ad64f13b5549,hub
Maduro_3_Depois,0x301d9bc22d66f7bc49329a9d9eb16d3ecc4a12b4,hub
Maduro_3_Depois,0xb685760ebd368a891f27ae547391f4e2a289895b,hub
Maduro_3_Depois,0x5e196d6069946ef6af2c48f1f9c8f62248d53902,hub
Maduro_3_Depois,0x700eafc70e47793b7941742caabdee3bd10656a6,hub
Maduro_3_Depois,0x019ce0bb10cbe9a67443883287f775492c3cbc5c,hub
Maduro_3_Depois,0x3d90f66b534dd8482b181e24655a9e8265316be9,hub
Maduro_3_Depois,0x5e1908e2a80e856bced23a269a75ec4b62b73902,hub
Maduro_3_Depois,0x1887fa9edadeab7562b01cc3f4fa246ace2c3cdd,hub
Maduro_3_Depois,0x2ac51184e197248553827704f162234808664759,hub
Maduro_3_Depois,0x35b7ef9f13017e7b4f28a277f5e67bec774bf7b1,hub
Maduro_3_Depois,0x008749608a242f1a68903590b9d2a41c588db740,auth
Maduro_3_Depois,0x0000e7316ba731a244e13a921621e2dcebac0000,auth
Maduro_3_Depois,0x000d63ec020fda0e22be3d872b097b9282edc34d,auth
Maduro_3_Depois,0x003715e5d30af47401d285cd85221cf1ea5fb9da,auth
Maduro_3_Depois,0x00652493bafcaa810cbf7054f26d443668882b5f,auth
