address,hub_score,rank_auth
0x21a31ee1afc51d94c2efccaa2092ad1028285549,0.22145021416366945,1463
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0.21266750309820132,1762
0x28c6c06298d514db089934071355e5743bf21d60,0.16941199614302374,2199
0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,0.033165328905342864,1976
0x91d40e4818f4d4c57b4578d9eca6afc92ac8debe,0.03275137029572449,2179
0x700e0841ce0892969d2f9cf523c6298b3ef056a6,0.02214142934336465,1394
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0.0215686145017383,2165
0x9642b23ed1e01df1092b92641051881a322f5d4e,0.01789526642278907,1114
0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,0.014037069278748841,1876
0xefef30bd1cca520619306c95091ab18473febc5c,0.013168595195060168,2183
0xa43fe16908251ee70ef74718545e4fe6c5ccec9f,0.012388869849774106,230
0xf89d7b9c864f589bbf53a82105107622b35eaa40,0.011491022334810579,1794
0xf48a3f7c0575c85cf4529aa220caf3c055773f1c,0.01074120361527889,237
0xc80af4a6b0deaeff4a91a1384462586228cb2416,0.007313151965553545,1071
0x3c02290922a3618a4646e3bbca65853ea45fe7c6,0.006678980806775563,1200
0xd4d2960e1e58a597723ae021cc811193f79153b1,0.00600842099205953,1105
0x990636ecb3ff04d33d92e970d3d588bf5cd8d086,0.005665257223677607,321
0x11950d141ecb863f01007add7d1a342041227b58,0.005312111996116308,489
0x58b704065b7aff3ed351052f8560019e05925023,0.005226187307294255,1088
0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,0.004958615884384485,1087
